ModelType,Lags,Hidden,Layers,Dropout,Learning_Rate,Epochs,RMSE,MAPE,R
GRU,5,128,2,0.4,0.001,100,0.8439064025878906,98.151083818444,0.9132410454803449
GRU,5,128,2,0.4,0.001,150,2.8324533433465087,139.14051577305966,0.946594456357588
GRU,5,128,4,0.4,0.001,50,10.82334627405098,99.11938318420998,0.4564043640423733
GRU,5,128,4,0.4,0.001,100,6.7987502843059,177.2647146316163,-0.4145280977460947
GRU,5,128,4,0.4,0.001,150,10.068607825651723,124.83706224272414,-0.09605388969877657
GRU,5,128,8,0.4,0.001,50,9.393900893731791,140.46793163951307,-0.4054103025786911
GRU,5,128,8,0.4,0.001,100,3.0046150955136794,240.12604588940593,-0.12225697012208606
GRU,5,128,8,0.4,0.001,150,14.10018010152674,118.30372002197727,-0.10764966103209549
GRU,7,128,2,0.4,0.001,50,5.269762479037129,84.7138010720835,0.8996519662350767
GRU,7,128,2,0.4,0.001,100,0.22207818863464523,184.02463299462713,0.6346831479747667
GRU,7,128,2,0.4,0.001,150,3.4860924802658633,181.346622013199,0.8975673489343914
GRU,7,128,4,0.4,0.001,50,10.726503440878068,126.64580082978733,0.5489477166431901
GRU,7,128,4,0.4,0.001,100,7.877137185463945,153.68626278778405,-0.30289229467889645
GRU,7,128,4,0.4,0.001,150,7.853788074694182,162.88113931764957,-0.37122116953467904
GRU,7,128,8,0.4,0.001,50,7.685889306160882,161.06147092437695,-0.43119863992953483
GRU,7,128,8,0.4,0.001,100,11.373834477897496,108.84549330952049,-0.09644808990918523
GRU,7,128,8,0.4,0.001,150,8.55553578802093,135.04654070459173,0.25836554224206154
